"br","sp","ht","ht2","yr"
NA,1,5.8,33.64,"1"
0,0,7,49,"1"
0,1,10,100,"1"
NA,0,NA,NA,"1"
0,1,13,169,"1"
NA,0,NA,NA,"1"
0,1,13.6,184.96,"1"
0,0,12.2,148.84,"1"
0,1,14,196,"1"
0,0,11,121,"1"
NA,1,NA,NA,"1"
NA,0,9.56384364820847,91.4671053273775,"1"
NA,0,8,64,"1"
NA,0,NA,NA,"1"
NA,0,7,49,"1"
NA,0,8.2,67.24,"1"
NA,0,14.3,204.49,"1"
NA,0,2.8,7.84,"1"
0,1,13.5,182.25,"1"
NA,0,7.9,62.41,"1"
NA,1,8,64,"1"
NA,0,12.5,156.25,"1"
0,0,9,81,"1"
NA,1,9.2,84.64,"1"
0,1,15.9,252.81,"1"
0,0,15,225,"1"
0,1,13.2,174.24,"1"
0,1,9,81,"1"
NA,1,44.7232824427481,2000.17199245382,"1"
0,0,53,2809,"1"
0,1,56,3136,"1"
0,0,51,2601,"1"
0,1,18,324,"1"
0,0,68.5,4692.25,"1"
0,1,35,1225,"1"
0,0,35,1225,"1"
1,1,34.4,1183.36,"1"
NA,0,31.5,992.25,"1"
NA,1,31.5,992.25,"1"
0,1,36.5,1332.25,"1"
NA,0,9,81,"1"
NA,0,9,81,"1"
NA,0,3,9,"1"
NA,0,16,256,"1"
NA,1,13,169,"1"
0,0,16,256,"1"
NA,1,8,64,"1"
NA,0,5.5,30.25,"1"
NA,1,10.5,110.25,"1"
1,1,14,196,"1"
NA,1,17.5,306.25,"1"
NA,1,7.9,62.41,"1"
0,1,43.7,1909.69,"1"
NA,0,77.6,6021.76,"1"
1,1,48.6,2361.96,"1"
1,0,63.6,4044.96,"1"
0,1,44,1936,"1"
0,1,10.9,118.81,"1"
0,1,7,49,"1"
NA,0,9,81,"1"
0,1,7.3,53.29,"1"
0,0,8.1,65.61,"1"
0,1,9.5,90.25,"1"
0,0,11,121,"1"
0,1,12,144,"1"
0,0,10.5,110.25,"1"
0,1,15.3,234.09,"1"
0,0,12.2,148.84,"1"
0,1,11,121,"1"
NA,0,14.2,201.64,"1"
0,0,5.3,28.09,"1"
0,0,4.5,20.25,"1"
0,0,12.5,156.25,"1"
0,0,10,100,"1"
0,0,14,196,"1"
0,0,3,9,"1"
0,0,8.6,73.96,"1"
0,0,7.4,54.76,"1"
0,0,8.5,72.25,"1"
1,1,60.9,3708.81,"1"
0,0,60.4,3648.16,"1"
0,1,26.1,681.21,"1"
NA,0,44.7232824427481,2000.17199245382,"1"
1,1,52.5,2756.25,"1"
NA,1,56,3136,"1"
0,1,28.5,812.25,"1"
0,1,28.5,812.25,"1"
0,1,9.4,88.36,"1"
0,0,7,49,"1"
0,0,11,121,"1"
0,1,14.1,198.81,"1"
0,0,11.9,141.61,"1"
0,1,9.2,84.64,"1"
0,0,7.1,50.41,"1"
0,0,5.4,29.16,"1"
NA,1,5.3,28.09,"1"
NA,0,7,49,"1"
NA,1,11.2,125.44,"1"
NA,0,9.5,90.25,"1"
NA,1,7.7,59.29,"1"
NA,0,6.1,37.21,"1"
0,0,9,81,"1"
0,0,12.9,166.41,"1"
NA,0,3.8,14.44,"1"
NA,0,6,36,"1"
NA,0,10.5,110.25,"1"
NA,0,10.2,104.04,"1"
0,0,7.7,59.29,"1"
0,0,6,36,"1"
1,1,51.3,2631.69,"1"
0,1,50.5,2550.25,"1"
NA,0,72.5,5256.25,"1"
NA,1,45.7,2088.49,"1"
0,0,68.3,4664.89,"1"
1,1,44,1936,"1"
NA,1,34,1156,"1"
NA,0,42,1764,"1"
0,1,21.5,462.25,"1"
0,0,50.5,2550.25,"1"
1,1,24.7,610.09,"1"
NA,0,73,5329,"1"
1,1,37.9,1436.41,"1"
NA,1,7,49,"1"
0,1,4.3,18.49,"1"
0,0,7.4,54.76,"1"
0,0,3.1,9.61,"1"
0,1,18,324,"1"
0,0,13,169,"1"
NA,0,9.56384364820847,91.4671053273775,"1"
0,0,10,100,"1"
0,0,13,169,"1"
0,0,11,121,"1"
0,0,7.5,56.25,"1"
0,0,13.4,179.56,"1"
0,0,10,100,"1"
0,0,8,64,"1"
0,0,10.5,110.25,"1"
0,0,8.5,72.25,"1"
1,1,39,1521,"1"
1,1,27.3,745.29,"1"
1,1,43.4,1883.56,"1"
NA,1,23.5,552.25,"1"
NA,1,41,1681,"1"
NA,1,29.5,870.25,"1"
1,1,26.2,686.44,"1"
1,1,39,1521,"1"
0,0,9.5,90.25,"1"
0,0,10.4,108.16,"1"
0,0,7,49,"1"
NA,0,7.8,60.84,"1"
0,0,9.9,98.01,"1"
0,0,12,144,"1"
0,0,11.2,125.44,"1"
0,0,4.6,21.16,"1"
0,1,7.6,57.76,"1"
0,0,6.9,47.61,"1"
NA,1,8.4,70.56,"1"
0,0,6.9,47.61,"1"
0,1,14.2,201.64,"1"
0,0,10,100,"1"
0,1,9.5,90.25,"1"
0,0,6.1,37.21,"1"
0,1,10,100,"1"
0,1,11.5,132.25,"1"
NA,0,9,81,"1"
0,1,61.1,3733.21,"1"
1,0,45,2025,"1"
0,0,31.5,992.25,"1"
NA,0,49.5,2450.25,"1"
1,1,41.5,1722.25,"1"
1,0,32.9,1082.41,"1"
0,0,43.5,1892.25,"1"
1,1,45.3,2052.09,"1"
1,1,49.4,2440.36,"1"
1,0,23.5,552.25,"1"
0,1,37.5,1406.25,"1"
1,0,21.6,466.56,"1"
0,1,42,1764,"1"
NA,0,7.2,51.84,"1"
0,0,3.5,12.25,"1"
NA,1,44.5,1980.25,"1"
0,0,54.1,2926.81,"1"
1,1,39,1521,"1"
NA,1,32,1024,"1"
NA,0,23,529,"1"
NA,0,20,400,"1"
NA,1,28.6,817.96,"1"
0,0,29.6,876.16,"1"
0,1,43,1849,"1"
NA,1,30.4,924.16,"1"
0,1,6.1,37.21,"1"
NA,1,8.9,79.21,"1"
0,1,8,64,"1"
0,0,7.2,51.84,"1"
0,1,9.3,86.49,"1"
NA,1,8.7,75.69,"1"
0,1,8.7,75.69,"1"
NA,0,5.3,28.09,"1"
NA,0,7.6,57.76,"1"
0,0,10.3,106.09,"1"
NA,1,32.5,1056.25,"1"
0,0,64,4096,"1"
0,1,45,2025,"1"
0,1,43.8,1918.44,"1"
0,0,38.8,1505.44,"1"
0,1,43,1849,"1"
0,0,20.4,416.16,"1"
0,1,41,1681,"1"
0,0,38.3,1466.89,"1"
1,1,49.8,2480.04,"1"
1,1,64.6,4173.16,"1"
NA,0,27.5,756.25,"1"
0,1,46,2116,"1"
NA,0,15.8,249.64,"1"
0,1,45.7,2088.49,"1"
0,0,64.5,4160.25,"1"
1,1,33.4,1115.56,"1"
NA,0,34.5,1190.25,"1"
0,1,53.7,2883.69,"1"
1,0,60.9,3708.81,"1"
1,1,56.2,3158.44,"1"
0,1,30.8,948.64,"1"
1,0,59.1,3492.81,"1"
1,1,48.8,2381.44,"1"
0,0,73.5,5402.25,"1"
1,1,49.5,2450.25,"1"
0,0,56,3136,"1"
1,1,29.5,870.25,"1"
NA,0,10.5,110.25,"1"
NA,0,16.4,268.96,"1"
NA,1,11.1,123.21,"1"
NA,0,14.8,219.04,"1"
NA,1,7.6,57.76,"1"
0,1,7.1,50.41,"1"
NA,1,4.4,19.36,"1"
NA,0,13.5,182.25,"1"
NA,1,9.5,90.25,"1"
NA,0,8.7,75.69,"1"
NA,1,39.2,1536.64,"1"
0,0,66.3,4395.69,"1"
0,1,48.7,2371.69,"1"
0,0,70.2,4928.04,"1"
NA,1,32.4,1049.76,"1"
0,0,41.4,1713.96,"1"
NA,1,36.4,1324.96,"1"
0,0,59,3481,"1"
1,1,46.2,2134.44,"1"
NA,1,60.9,3708.81,"1"
NA,1,43,1849,"1"
0,0,32.7,1069.29,"1"
0,1,4.9,24.01,"1"
0,0,10.1,102.01,"1"
0,1,7.5,56.25,"1"
NA,1,8.6,73.96,"1"
NA,1,4.3,18.49,"1"
NA,0,9.2,84.64,"1"
0,1,9.9,98.01,"1"
NA,0,11.1,123.21,"1"
0,0,20.1,404.01,"1"
NA,0,10.8,116.64,"1"
NA,1,7.3,53.29,"1"
0,0,10.6,112.36,"1"
0,0,16.8,282.24,"1"
0,1,12.2,148.84,"1"
0,0,11.6,134.56,"1"
0,0,11.7,136.89,"1"
0,0,10.2,104.04,"1"
1,1,37.1,1376.41,"1"
0,0,35.1,1232.01,"1"
0,1,69.8,4872.04,"1"
NA,1,68.2,4651.24,"1"
NA,0,44.8,2007.04,"1"
NA,1,58,3364,"1"
0,0,58.5,3422.25,"1"
0,1,71.1,5055.21,"1"
0,0,33.5,1122.25,"1"
NA,1,56.4,3180.96,"1"
0,0,45.8,2097.64,"1"
NA,1,70.2,4928.04,"1"
0,0,25.2,635.04,"1"
0,1,66.7,4448.89,"1"
0,0,8.4,70.56,"1"
NA,0,9.56384364820847,91.4671053273775,"1"
0,0,8.5,72.25,"1"
0,1,8.2,67.24,"1"
NA,1,12.8,163.84,"1"
0,1,7,49,"1"
0,1,8,64,"1"
NA,0,9.56384364820847,91.4671053273775,"1"
0,0,5.9,34.81,"1"
0,1,28.2,795.24,"1"
0,0,70.4,4956.16,"1"
1,1,32.9,1082.41,"1"
0,0,35.8,1281.64,"1"
0,1,36.4,1324.96,"1"
0,0,68,4624,"1"
0,1,43.1,1857.61,"1"
0,0,40.9,1672.81,"1"
0,1,53.6,2872.96,"1"
0,0,52.2,2724.84,"1"
0,1,41.3,1705.69,"1"
0,1,41.5,1722.25,"1"
0,0,73.2,5358.24,"1"
1,1,37.6,1413.76,"1"
0,1,6.4,40.96,"1"
