year12,year13,year14,Unit,Tree,Treecode,shelter,clear,removed,squirrel,wo,buried,eaten,germ,missed,dist,az,micro
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,0.1,0,NA
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,0.75,260,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,0.81,144,BOT
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,0.85,155,BOT
1,0,0,2,M2-10,1,0,0,1,0,0,1,0,0,0,0.9,278,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,1.19,70,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,1.25,250,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,1.35,109,BOT
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,1.4,1.55,BOT
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,1.59,230,NONE
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,1.67,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,1.67,210,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,1.85,55,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,1.89,32,BOT
1,0,0,2,M2-10,1,0,0,1,1,1,0,0,0,0,1.95,219,NONE
0,1,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,1.98,270,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,2,190,BOT
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,2,290,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.09,210,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,2.15,94,BOT
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.15,210,LOG
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,2.2,195,BOT
1,0,0,2,M2-10,1,0,0,1,1,1,1,0,1,0,2.45,211,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,2.49,232,LOG
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,2.5,210,BOT
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,2.5,320,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,2.5,130,NONE
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,0,0,1,0,1,0,0,NA,NA,NA
0,1,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,2.8,280,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,2.85,310,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,2.95,240,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,3,75,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,3,210,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,3.1,70,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,3.4,160,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,3.8,250,NONE
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,3.9,145,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,3.9,75,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,4.25,180,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,4.28,125,LOG
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,4.3,160,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,4.32,0,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,4.38,290,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,1,0,0,0,4.55,211,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,4.7,25,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,4.7,25,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,4.7,25,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,4.7,25,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,4.75,190,NONE
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,4.95,159,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,5.3,330,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,5.4,125,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,5.5,20,BOT
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,5.5,210,NONE
1,0,0,2,M2-10,1,0,0,1,1,1,0,0,0,0,5.58,198,LOG
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,5.6,310,LOG
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,5.6,180,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,5.7,45,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,5.8,180,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,5.8,135,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,5.8,160,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,5.95,75,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,6.2,25,LOG
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,6.3,20,LOG
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,6.4,195,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,6.6,160,BOT
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,6.69,190,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,6.79,60,BOT
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,6.8,65,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,6.8,65,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,6.8,65,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,6.8,65,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,6.8,65,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,6.9,130,LOG
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,6.9,130,LOG
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,6.9,170,LOG
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,7,230,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,7.05,195,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,7.2,10,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,7.4,60,LOG
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,7.5,320,LOG
1,0,0,2,M2-10,1,0,0,1,1,0,1,0,0,0,7.63,72,NONE
1,0,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,7.74,195,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,7.85,60,BOT
0,1,0,2,M2-10,1,0,0,1,1,0,1,0,1,0,7.9,50,NONE
0,1,0,2,M2-10,1,0,0,1,1,0,1,0,1,0,7.9,50,NONE
0,1,0,2,M2-10,1,0,0,1,1,0,1,0,1,0,7.9,50,NONE
0,1,0,2,M2-10,1,0,0,1,1,0,1,0,1,0,7.9,50,NONE
0,1,0,2,M2-10,1,0,0,1,1,0,1,0,1,0,7.9,50,NONE
1,0,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,7.97,180,NONE
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.05,158,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,8.11,43,NONE
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.15,190,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.2,220,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,8.38,44,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,8.4,220,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,8.65,94,BOT
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,8.7,225,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,8.9,70,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,8.91,210,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,9,110,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,9,110,BOT
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,9,110,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,9.2,230,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,9.2,230,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,9.3,50,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,1,0,9.36,135,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,9.6,290,BUSH
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,9.64,208,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,9.85,245,BOT
1,0,0,2,M2-10,1,0,0,1,1,0,0,0,0,0,10,135,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,10.05,265,LOG
0,1,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,10.2,320,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,10.4,110,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,10.75,60,NONE
0,1,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,11.3,340,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,11.3,220,NONE
0,1,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,11.3,340,NONE
0,1,0,2,M2-10,1,0,0,1,1,1,0,1,0,0,11.3,340,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,11.5,350,BOT
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,11.5,39,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,11.9,245,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,12.2,310,LOG
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,12.4,100,LOG
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,12.65,245,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,12.8,0,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,1,0,12.9,65,LOG
0,1,0,2,M2-10,1,0,0,1,1,0,0,1,0,0,12.9,315,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,13.1,355,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,13.5,60,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,13.6,30,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,14,250,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,14.2,20,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,14.92,30,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,15.1,255,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,15.5,35,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,15.7,210,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,15.95,71,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,16.3,290,LOG
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,16.6,220,TREETOP
0,1,0,2,M2-10,1,0,0,1,1,0,1,0,0,0,16.6,100,BOT
0,1,0,2,M2-10,1,0,0,1,0,0,1,0,0,0,16.6,100,BOT
0,0,1,2,M2-10,1,0,0,1,1,1,0,1,0,0,16.6,290,NONE
1,0,0,2,M2-10,1,0,0,1,0,1,0,0,0,0,16.7,35,NONE
0,1,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,16.7,150,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,16.8,220,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,17.7,230,BOT
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,17.77,20,NONE
0,1,0,2,M2-10,1,0,0,1,0,0,1,0,1,0,18.2,315,NONE
1,0,0,2,M2-10,1,0,0,1,0,0,0,0,0,0,18.2,180,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,18.3,65,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,18.3,65,BOT
0,1,0,2,M2-10,1,0,0,1,0,1,0,1,0,0,18.5,250,BOT
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,18.5,245,NONE
0,0,1,2,M2-10,1,0,0,1,0,0,0,1,0,0,18.8,220,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,19.05,300,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,19.05,31,NONE
0,0,1,2,M2-10,1,0,0,1,0,1,0,1,0,0,19.1,65,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,19.18,75,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,19.5,290,LOG
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,20.6,305,LOG
1,0,0,2,M2-10,1,0,0,1,0,0,0,1,0,0,20.85,140,LOG
1,0,0,2,M2-10,1,0,0,1,1,1,0,0,0,0,21.15,150,LOG
1,0,0,2,M2-10,1,0,0,1,0,1,1,0,0,0,22.15,30,NONE
0,0,1,2,M2-10,1,0,0,1,1,0,0,1,0,0,22.25,245,LOG
