"seed.plotcode","species","nsamples","growth1","growth2","growth3","growth4","browse1","browse2","browse3","browse4"
5,1,4,3.5,-32.71,44.21,35.5,0,1,0,0
5,0,4,0.799999999999997,4.7,6.40000000000001,4.39999999999999,0,0,0,0
5,0,1,0.800000000000004,NA,NA,NA,0,NA,NA,NA
5,1,4,1.3,5.6,7.90000000000001,-4.7,0,0,0,0
5,1,4,0.700000000000001,20.1,8.5,52.7,0,0,0,0
5,1,4,2.8,6.1,9.7,3.7,0,0,0,0
6,1,4,23.7,16,21.8,94,0,0,0,0
6,1,4,2.4,10.6,0.700000000000003,-18.7,0,0,0,0
6,1,1,-2,NA,NA,NA,0,NA,NA,NA
6,1,3,1.6,2.6,-4.3,NA,0,0,1,NA
6,0,1,7,NA,NA,NA,0,NA,NA,NA
6,1,2,3.7,5.09999999999999,NA,NA,0,0,NA,NA
7,1,4,0.899999999999999,0.600000000000001,3,10,0,0,1,0
7,1,1,1,NA,NA,NA,0,NA,NA,NA
7,1,1,-2.9,NA,NA,NA,1,NA,NA,NA
7,1,3,1.4,-10.1,9.4,NA,0,1,1,NA
8,0,3,2.3,1.59999999999999,-1,NA,1,0,1,NA
8,1,3,2.4,6.6,24.5,0,0,1,1,0
9,0,4,-1.5,3.59999999999999,3.90000000000001,6.3,0,0,0,0
9,1,4,1,1.9,0.700000000000003,16.9,0,0,0,0
10,1,4,0.399999999999999,10.1,10.5,-1.5,0,0,0,0
10,1,1,1.1,NA,NA,NA,0,NA,NA,NA
10,1,1,0.5,NA,NA,NA,0,NA,NA,NA
10,1,4,0.799999999999997,-19.4,-6.9,1,0,1,1,0
10,0,1,-2,NA,NA,NA,0,NA,NA,NA
11,1,1,0.100000000000001,0,12,-4,1,1,1,1
11,0,3,0.700000000000003,-4.6,6.5,0,0,1,1,1
11,1,4,-1.6,4,9,1.5,0,0,1,1
11,1,4,1.5,4.5,9.5,21,1,1,1,1
11,1,4,-0.699999999999999,7.2,6.5,11.5,0,1,0,0
11,1,4,0.5,4,9,-7.5,0,0,1,0
12,1,4,1.6,5,7.1,14.9,1,0,0,0
12,0,1,3.7,NA,NA,3.5,0,NA,0,NA
12,1,4,0.699999999999999,0.199999999999999,5.5,3.7,0,0,0,0
12,0,1,0.399999999999999,NA,NA,6.8,0,NA,1,NA
12,1,4,0.800000000000001,7.5,3.7,15.8,1,0,1,0
12,1,1,-1.6,NA,NA,NA,1,NA,NA,NA
13,1,4,2.7,12.6,7.40000000000001,3.09999999999999,0,0,0,0
13,0,4,0.200000000000003,7.3,43.6,-51.9,0,0,0,0
13,1,3,-1.1,1.9,6.5,NA,0,0,0,NA
13,1,4,0.100000000000001,6.3,-0.899999999999999,2.7,0,0,0,0
14,1,1,-1.3,NA,NA,NA,0,NA,NA,NA
15,1,1,0.100000000000001,NA,NA,NA,1,NA,NA,NA
16,0,4,5.5,3,-2.1,0.399999999999999,0,0,1,0
16,0,4,-1.3,1.9,3.2,4.90000000000001,0,0,0,0
16,1,1,-0.600000000000001,NA,NA,NA,1,NA,NA,NA
16,1,4,-0.700000000000003,0.700000000000003,-1,-1.4,0,0,0,0
49,1,2,1.09999999999999,17.2,NA,NA,0,0,NA,NA
49,1,1,5.90000000000001,NA,NA,NA,0,NA,NA,NA
49,1,4,0.200000000000003,16.2,14.6,22.9,0,0,0,0
49,1,2,0.5,6.4,NA,NA,0,0,NA,NA
49,1,1,0.5,NA,NA,NA,0,NA,NA,NA
50,1,4,4.9,3.1,3.5,11.4,0,0,0,0
50,1,4,6.9,1,3.6,-0.600000000000001,0,0,0,0
17,1,1,1.5,NA,NA,NA,0,NA,NA,NA
17,0,1,3,NA,NA,11.2,0,NA,NA,0
17,1,4,3.3,0.900000000000006,-1.2,13,0,0,0,0
17,1,1,4.3,NA,NA,NA,0,NA,NA,NA
17,0,1,4.1,NA,NA,NA,0,NA,NA,NA
17,1,4,1.8,7.09999999999999,3.40000000000001,31,0,0,0,0
17,1,4,1.3,0.700000000000003,14.3,12.5,0,0,0,0
17,1,4,4.8,1.5,11.8,24.6,0,0,0,0
18,1,2,0.199999999999996,0.900000000000006,NA,NA,0,0,NA,NA
18,1,1,3,NA,NA,NA,0,NA,NA,NA
18,0,1,0.100000000000001,NA,NA,NA,0,NA,NA,NA
18,0,1,5.9,NA,NA,NA,0,NA,NA,NA
18,0,1,0.399999999999999,NA,NA,NA,0,NA,NA,NA
18,1,1,6,NA,NA,NA,0,NA,NA,NA
18,0,1,2.1,NA,NA,NA,0,NA,NA,NA
18,1,1,0.0999999999999943,NA,NA,NA,0,NA,NA,NA
18,1,1,0.799999999999997,NA,NA,NA,0,NA,NA,NA
18,0,1,1.90000000000001,NA,NA,NA,0,NA,NA,NA
18,0,1,0.5,NA,NA,NA,0,NA,NA,NA
18,1,1,13.1,NA,NA,NA,0,NA,NA,NA
19,1,4,-1,1.7,9.8,18,1,1,1,0
19,0,4,1,3,4.8,4.1,0,0,0,0
19,1,1,1.5,NA,NA,NA,1,NA,NA,NA
19,1,1,0.100000000000001,0,10.4,22.1,1,0,1,0
20,0,4,1.5,9.40000000000001,-1.5,13.6,0,1,0,0
20,1,4,0.200000000000003,8,7.09999999999999,15.7,0,0,0,0
20,1,1,0.600000000000001,NA,NA,NA,0,NA,NA,NA
20,0,4,3.1,1.9,6.8,11.4,0,0,1,0
20,1,1,2.5,NA,NA,9.2,0,NA,NA,NA
20,0,4,2,-14.9,13.4,6.1,0,1,0,0
20,0,2,1.8,7.8,NA,NA,0,0,NA,NA
20,1,4,-1.8,13,17.8,4.7,1,0,1,0
20,1,4,3.40000000000001,3.5,12.8,0.700000000000003,1,1,0,0
21,0,1,1.3,NA,NA,NA,0,NA,NA,NA
21,1,4,4.7,5.9,1.5,3,0,0,0,0
21,1,4,3.7,21.1,18.2,3,0,0,0,0
21,0,3,0.399999999999999,-11,9,NA,0,0,0,NA
21,1,4,3.8,1,-5,18.5,0,0,0,0
22,1,2,2.6,0.899999999999999,NA,NA,0,0,NA,NA
22,1,1,0.800000000000004,NA,NA,NA,0,NA,NA,NA
22,1,1,5.30000000000001,NA,NA,NA,0,NA,NA,NA
22,0,1,3.5,NA,NA,NA,0,NA,NA,NA
22,1,1,4,NA,NA,NA,0,NA,NA,NA
22,0,1,0.699999999999989,NA,NA,NA,0,NA,NA,NA
22,1,1,10.2,NA,NA,NA,0,NA,NA,NA
22,0,1,4.09999999999999,NA,NA,NA,0,NA,NA,NA
22,1,1,4.4,NA,NA,NA,0,NA,NA,NA
22,1,1,-0.600000000000001,NA,NA,NA,0,NA,NA,NA
23,1,1,4.3,0,4.7,3.3,0,1,1,0
23,1,4,2.5,2.1,1.9,7.9,1,0,1,0
23,0,4,1.1,3.59999999999999,5.40000000000001,8,1,0,1,0
23,1,1,0.199999999999996,NA,NA,NA,1,NA,NA,NA
23,1,1,1.2,NA,NA,2.3,0,NA,0,0
23,0,4,12.5,5.7,0.799999999999997,15.4,1,0,1,0
23,1,1,0.700000000000003,NA,NA,18,1,NA,0,0
23,0,1,1.2,NA,NA,NA,0,NA,0,NA
23,1,1,3,NA,NA,2.6,1,NA,NA,0
23,0,1,0.299999999999997,NA,NA,0,0,NA,0,0
23,1,1,-1.2,NA,NA,NA,1,NA,NA,NA
24,0,4,5.8,-59.9,15.8,12,0,1,0,0
24,1,4,10.3,-2,-1.1,24.6,0,1,1,0
24,0,4,2.89999999999999,5.80000000000001,7.39999999999999,27.2,0,1,0,0
24,0,1,4.6,NA,NA,6.5,0,NA,NA,NA
