Treecode,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,13,16,NA,1,0,0,1,0,0
2,14,0,NA,0,12,0,2,1,1
3,9,22,NA,0,3,0,0,0,0
4,2,14,NA,0,6,0,0,2,1
5,14,21,NA,0,2,0,6,0,7
6,1,2,NA,0,5,0,0,0,1
7,14,16,NA,0,1,11,15,4,1
8,3,5,NA,0,6,0,4,0,0
9,9,24,NA,0,0,5,6,2,1
10,0,1,NA,0,4,0,0,0,2
11,9,0,NA,0,1,5,7,5,8
12,33,39,NA,0,1,0,7,0,13
13,0,13,2,0,15,14,16,4,6
14,2,24,0,1,2,0,0,0,0
15,0,2,11,1,12,0,0,0,1
16,7,10,0,0,8,6,8,10,13
17,13,13,0,0,8,0,0,0,0
18,17,26,2,1,22,5,7,4,7
19,4,2,0,0,2,0,3,0,0
20,2,8,0,0,5,3,6,6,6
21,0,7,0,0,2,9,4,2,8
22,0,0,1,0,0,0,6,0,0
23,0,0,0,0,0,10,17,6,3
24,0,0,6,0,10,0,0,0,0
25,7,1,NA,0,1,13,0,1,1
26,3,20,2,0,11,0,0,0,0
27,20,12,2,0,2,1,0,1,1
28,1,1,0,0,0,0,0,0,0
29,0,3,6,0,21,16,5,0,NA
30,0,4,1,0,12,0,0,0,45
31,0,15,10,0,18,7,0,0,0
32,13,21,0,0,8,5,7,5,4
33,0,22,2,0,13,0,13,0,0
34,2,1,0,0,0,3,9,0,3
35,0,5,1,0,5,0,0,3,53
36,NA,NA,NA,0,12,4,2,14,1
37,NA,NA,NA,0,34,0,0,0,19
38,1,2,0,0,0,7,0,0,0
39,1,10,0,0,9,0,0,0,0
40,0,1,0,0,17,11,14,4,1
41,1,18,0,0,17,0,25,0,21
42,8,4,0,0,0,0,0,0,1
43,0,0,3,0,5,0,0,7,2
44,1,8,0,0,1,0,4,0,16
45,5,5,0,0,14,16,15,17,11
46,2,9,2,0,0,0,3,7,1
47,1,4,0,0,1,0,27,0,10
48,15,10,0,3,20,0,1,0,5
49,0,0,1,0,0,2,5,5,6
50,5,13,0,0,10,0,1,0,0
51,0,5,0,0,4,2,0,2,1
52,0,1,0,0,2,11,0,9,1
53,13,0,33,0,31,0,0,0,0
54,1,7,0,0,7,6,15,1,10
55,2,0,2,0,1,0,7,0,2
56,9,1,1,0,19,0,1,0,0
57,0,0,3,0,1,0,34,0,14
58,0,6,0,0,0,3,1,4,4
59,0,2,7,0,0,0,1,0,1
60,1,2,0,0,3,16,6,1,0
61,0,2,5,0,5,0,1,0,0
62,0,0,0,0,0,2,0,7,0
63,0,0,0,1,2,0,5,0,0
64,0,1,0,0,0,0,0,0,1
65,1,0,0,0,1,0,34,0,1
66,0,3,0,4,28,0,6,0,27
67,3,0,1,0,0,6,0,1,3
68,0,2,0,0,0,0,0,0,0
69,0,2,3,0,3,0,0,0,1
70,0,5,0,1,2,1,2,2,12
71,3,1,2,1,6,0,4,0,6
72,0,3,0,0,0,13,1,2,1
73,0,0,0,0,0,0,1,0,2
74,0,20,1,0,14,9,1,1,2
75,0,0,0,2,0,0,0,0,2
76,0,0,0,5,3,0,0,0,4
77,0,6,0,3,0,0,0,3,42
78,1,0,NA,0,4,0,1,0,1
79,1,6,NA,0,0,0,0,0,0
80,5,1,NA,0,1,2,0,7,8
81,0,6,NA,0,0,0,2,0,0
82,0,6,NA,1,3,0,1,0,8
83,0,0,NA,0,3,0,0,0,10
84,1,0,NA,0,0,0,1,0,0
85,2,2,NA,0,18,30,0,0,5
86,7,18,NA,1,4,7,16,12,1
87,10,0,NA,0,77,0,0,0,47
88,4,0,NA,0,6,0,0,0,1
89,12,6,NA,0,11,0,0,0,53
90,3,2,NA,0,14,16,27,27,18
91,0,0,NA,0,0,0,10,0,53
92,0,3,NA,0,0,1,5,4,5
93,0,0,NA,0,0,0,2,0,51
94,0,0,NA,0,0,4,0,9,18
95,0,12,NA,0,48,0,1,0,16
96,1,2,NA,0,1,0,0,0,3
97,2,2,NA,0,8,0,0,0,8
98,3,13,NA,1,1,3,4,3,0
99,1,22,NA,0,6,0,6,0,15
100,2,2,NA,0,5,10,1,1,4
101,12,6,NA,0,20,0,1,0,21
102,0,7,0,0,0,1,5,2,0
103,0,0,0,0,1,0,0,0,0
104,0,13,NA,0,1,1,1,1,6
105,2,1,NA,0,4,0,1,0,9
106,1,0,3,0,3,0,2,2,3
107,0,1,0,0,5,0,0,0,2
108,0,3,NA,0,0,10,13,2,2
109,0,1,NA,0,29,0,1,0,0
110,NA,3,0,0,0,0,0,0,2
111,NA,4,0,0,9,1,1,3,1
112,NA,1,0,1,2,0,3,1,1
113,NA,4,0,1,1,0,0,0,14
