Unit,Plot,Quadrat,SpClass,Species,Class 1,Class 2,Class 3,Class 4,Notes
1,A5,1,INT,BLC,2,0,0,0,
1,A5,1,NC,MUS,0,5,1,1,
1,A5,1,OC,WHA,1,0,0,0,
1,A5,1,TOL,REM,1,0,0,0,
1,A5,2,Xoak,BLW,0,1,0,0,
1,A5,2,OC,REE,1,0,0,1,
1,A5,2,NC,IRO,0,0,4,1,
1,A5,2,NC,MUS,0,0,2,0,
1,A5,4,OC,WHA,6,1,0,0,
1,A5,4,NC,MUS,1,0,0,0,
1,A5,4,NC,SPI,0,1,2,1,
1,A5,4,Hic,BIH,1,0,0,0,
1,B5,1,TOL,REM,1,0,0,0,
1,B5,1,INT,SAS,4,1,0,0,
1,B5,1,INT,TUP,0,0,1,0,
1,B5,1,TOL,AMB,0,0,1,0,
1,B5,1,OC,WHA,2,0,0,0,
1,B5,2,INT,SAS,1,1,0,0,
1,B5,2,OC,WHA,0,1,0,1,
1,B5,2,INT,BLC,2,0,0,0,
1,B5,3,OC,WHA,2,1,1,0,
1,B5,3,INT,SAS,4,2,3,0,
1,B5,3,INT,TUP,0,0,1,0,
1,B5,3,TOL,REM,1,0,0,0,
1,B5,3,NC,ELM,1,0,0,0,
1,B5,4,XOak,CHO,1,0,0,0,
1,C5,1,OC,FLD,4,0,0,0,
1,C5,1,INT,SAS,3,1,0,0,
1,C5,1,Xoak,SCO,2,0,0,0,
1,C5,1,NC,SER,2,1,1,0,
1,C5,1,Hic,PIH,1,0,0,0,
1,C5,1,TOL,REM,4,0,0,0,
1,C5,1,TOL,SUM,1,0,0,0,
1,C5,2,Xoak,SCO,1,0,0,0,
1,C5,2,TOL,REM,6,0,0,0,
1,C5,2,INT,SAS,3,1,0,0,
1,C5,2,TOL,AMB,1,0,0,0,
1,C5,2,Hic,HIC,1,0,0,0,
1,C5,2,Hic,SHH,1,0,0,0,
1,C5,2,NC,WIT,6,1,0,0,
1,C5,3,NC,WIT,7,1,0,0,
1,C5,3,INT,SAS,6,2,0,0,
1,C5,3,OC,BLG,1,1,0,0,
1,C5,3,TOL,REM,1,0,0,0,
1,C5,3,Xoak,SCO,1,0,0,0,
1,C5,4,OC,BLG,0,1,0,0,
1,C5,4,INT,SAS,8,0,1,0,
1,C5,4,TOL,REM,3,0,0,0,
1,C5,4,OC,FLD,9,0,0,0,
1,C5,4,INT,TUP,1,0,0,0,
1,C5,4,NC,SER,0,0,1,0,
1,D5,1,INT,SAS,5,1,0,0,
1,D5,1,Xoak,OAK,1,0,0,0,
1,D5,1,TOL,REM,16,0,0,0,
1,D5,1,NC,WIT,1,0,0,0,
1,D5,2,INT,SAS,8,5,5,0,
1,D5,2,TOL,REM,35,0,0,0,
1,D5,2,OC,BLG,1,0,0,0,
1,D5,2,TOL,AMB,0,1,0,0,
1,D5,2,INT,BLC,1,0,0,0,
1,D5,2,Hic,PIH,0,2,0,0,
1,D5,3,INT,SAS,5,5,4,0,
1,D5,3,TOL,SUM,1,0,0,0,
1,D5,3,Xoak,SCO,3,0,0,0,
1,D5,3,INT,BLC,0,1,0,0,
1,D5,3,TOL,REM,35,0,0,0,
1,D5,3,INT,TUP,1,0,0,0,
1,D5,4,INT,SAS,10,1,0,0,
1,D5,4,TOL,REM,4,0,0,0,
1,D5,4,Xoak,OAK,1,0,0,0,
