"seed.plotcode","nsamples","species","surv1","surv2","surv3","surv4","surv5","age1","age2","age3","age4","sprout1","sprout2","sprout3","sprout4"
1,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,3,0,1,1,0,NA,NA,1,2,3,4,0,1,1,1
1,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,3,0,1,1,0,NA,NA,1,2,3,4,0,0,0,0
1,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
1,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
1,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
2,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
2,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
2,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
2,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
2,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
2,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
2,5,1,1,1,1,1,0,1,2,3,4,0,0,0,0
3,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,3,0,1,1,0,NA,NA,1,2,3,4,0,0,0,0
3,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
3,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,5,1,1,1,1,1,1,1,2,3,4,0,0,0,0
3,5,0,1,1,1,1,1,1,2,3,4,0,0,0,0
3,3,1,1,1,0,NA,NA,1,2,3,4,0,0,0,0
3,3,0,1,1,0,NA,NA,1,2,3,4,0,0,1,1
3,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,5,0,1,1,1,1,1,1,2,3,4,0,0,0,0
3,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
3,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
5,2,1,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
5,3,0,1,1,0,NA,NA,1,2,3,4,0,0,0,0
5,5,0,1,1,1,1,1,1,2,3,4,0,0,0,0
5,2,0,1,0,NA,NA,NA,1,2,3,4,0,0,0,0
