"unit","treecode","species","height","dbh","volume","llc","N","NE","E","SE","S","SW","W","NW","length","crownarea","edge","shelter","syr1","syr2","syr3","syr4","syr5","syr6","mast1","mast2","mast3","mast4","mast5","mast6"
1,1,0,27.8,61.722,3375.816552,14.2,7.6,14.2,4.1,13.7,15.2,18.8,6.5,5.1,13.6,321.882077863928,1,0,1,2,4,5,6,NA,13,16,1.61,1,0,0
1,2,1,23.8,41.656,606.4735063,13.9,7.8,3.4,5.3,5.6,2.9,3.2,3.1,5.2,9.9,58.8100709912852,1,0,1,2,4,5,6,NA,14,0,1.61,0,12,0
1,3,0,25.9,61.468,1220.78376,14,5.5,6.8,7,6.3,8.1,6,6.2,5.7,11.9,117.598928779135,1,0,1,2,4,5,6,NA,9,22,1.61,0,3,0
1,4,1,26.6,36.576,433.6935125,11.8,4.2,3.9,3.5,6.4,4.7,4.2,3.1,3.5,14.8,49.7873884633448,1,0,1,2,4,5,6,NA,2,14,1.61,0,6,0
1,5,0,29.4,55.118,1528.754804,15.1,6,5.8,7.4,7.6,10,6.6,7.7,4.5,14.3,137.330743508145,1,0,1,2,4,5,6,NA,14,21,1.61,0,2,0
1,6,1,24.1,34.29,297.7806195,12.2,2.9,4.4,3.9,2.8,3.9,2.8,3.6,3,11.9,32.6188358161354,1,0,1,2,4,5,6,NA,1,2,1.61,0,5,0
1,7,0,28.2,44.958,903.0367755,13.8,4.2,3.7,5.7,9.1,4.7,4.9,7.2,5.2,14.4,87.9852967830421,1,0,1,2,4,5,6,NA,14,16,1.61,0,1,11
1,8,1,31.7,41.656,346.682199,14.1,3.5,3.5,4.1,3.1,2.3,3.2,4.1,3.6,17.6,33.3330136651338,1,0,1,2,4,5,6,NA,3,5,1.61,0,6,0
1,9,1,33.8,73.914,2245.2876,14.4,7.2,9.8,10.8,11,6.8,6.1,9.4,7.9,19.4,212.117892220341,1,0,1,2,4,5,6,NA,9,24,1.61,0,0,5
1,10,0,23.2,42.418,725.076747,13.7,4.7,4.5,4.7,5.8,6.1,4.2,3.7,6.5,9.5,70.9581654920701,1,0,1,2,4,5,6,NA,0,1,1.61,0,4,0
1,11,1,26.3,55.88,1381.086364,14.9,8,6.9,5.9,7.2,10,6.3,4.4,4.5,11.4,126.186740636645,0,0,1,2,4,5,6,NA,9,0,1.61,0,1,5
1,12,0,24.5,45.466,896.4786535,14.6,5.2,6.3,5.2,7.5,7,4.6,3.3,4.2,9.9,84.888169081445,0,0,1,2,4,5,6,NA,33,39,1.61,0,1,0
2,13,1,25.7,50.546,765.920844,16.9,6.2,5.2,3.6,4.8,5.8,3.4,3.1,5.1,8.8,61.4369726833932,0,0,1,2,3,4,5,6,0,13,2,0,15,14
2,14,0,30.8,53.086,588.38912,14.5,4.9,5.1,6.6,4.8,3.5,3.2,3.1,4,16.3,56.6569308425721,0,0,1,2,3,4,5,6,2,24,0,1,2,0
2,15,1,30.5,54.102,588.38912,14.5,4.9,5.1,6.6,4.8,3.5,3.2,3.1,4,16,56.6569308425721,0,0,1,2,3,4,5,6,0,2,11,1,12,0
2,16,0,30.3,60.706,1338.962299,14.5,9.2,6.5,5.3,7.1,6.5,5.3,5.1,8.1,15.8,125.631661813414,0,0,1,2,3,4,5,6,7,10,0,0,8,6
2,17,0,33,55.626,792.92204,16,5,5.1,4.2,2.7,5.2,4.3,5.9,6.5,17,67.4862711964441,0,0,1,2,3,4,5,6,13,13,0,0,8,0
2,18,1,31,39.37,466.0848673,15.1,4.9,5.1,3.1,2.9,4.9,2.9,3.4,3.5,15.9,41.4081731062842,0,0,1,2,3,4,5,6,17,26,2,1,22,5
2,19,0,29.1,46.228,1121.085752,18.6,6.8,5.7,3.8,3.1,3.9,6.6,6.3,6.7,10.5,84.6336106402179,0,0,1,2,3,4,5,6,4,2,0,0,2,0
2,20,1,31.4,41.148,1036.334712,16.8,6.8,5.1,4.8,4.2,5.3,4.5,6.1,6.6,14.6,84.152778029011,0,0,1,2,3,4,5,6,2,8,0,0,5,3
2,21,0,29.2,53.848,1595.321275,16.4,8.5,6.1,6,7.6,5.9,6,7.2,7.2,12.8,131.002137816526,0,0,1,2,3,4,5,6,0,7,0,0,2,9
2,22,1,32.8,60.96,2645.422712,18.6,7.4,9.6,8.3,7.7,8.6,9.2,6.8,8.3,14.2,191.056716742699,0,0,1,2,3,4,5,6,0,0,1,0,0,0
2,23,0,33.4,48.006,759.9176708,21.7,3.5,4.2,3.9,4.9,5,4.6,2.7,3.9,11.7,47.4786848227707,0,0,1,2,3,4,5,6,0,0,0,0,0,10
2,24,1,20.9,34.036,954.3244545,14.2,5.1,5.9,4.9,6.5,6.1,3,6.3,7.5,6.7,89.5197184982169,0,0,1,2,3,4,5,6,0,0,6,0,10,0
3,25,0,38.6,48.768,727.9146,12.6,4.2,5.8,5.2,7,6.5,5.9,3.9,3.5,26,79.949028214857,1,0,1,2,4,5,6,NA,7,1,1.61,0,1,13
3,26,1,30.7,41.148,928.8694188,13.7,7.4,5.2,5,5.2,5,6.4,5,6.3,17,91.4289068074206,0,1,1,2,3,4,5,6,3,20,2,0,11,0
3,27,0,22.3,46.482,739.1227963,11.5,5.5,5.2,5.2,4.8,5.7,6.9,5.2,5.8,10.8,86.7018979751885,0,1,1,2,3,4,5,6,20,12,2,0,2,1
3,28,0,33.5,78.994,5087.498184,21.4,12.1,12.2,9.5,10.3,10.9,12,8.4,9.8,12.1,320.368869352189,0,0,1,2,3,4,5,6,1,1,0,0,0,0
3,29,1,33.1,69.85,2065.088159,18.3,6,8.2,7.8,7.6,9.8,6,8.1,5.2,14.8,151.193571953308,0,0,1,2,3,4,5,6,0,3,6,0,21,16
3,30,0,35,50.292,1372.76734,18.5,6.3,7.3,5.4,4.6,4.7,6.1,6.1,7.1,16.5,101.042023497652,0,1,1,2,3,4,5,6,0,4,1,0,12,0
3,31,1,26.3,62.738,1451.410701,15.6,9.1,5.2,5.4,5.7,4.5,7.5,5.3,10.6,10.7,126.561507230674,0,1,1,2,3,4,5,6,0,15,10,0,18,7
3,32,0,28.2,51.816,1510.521831,18.9,4.9,5.6,7,7.1,5.6,7,7,5.2,9.3,108.250977131849,0,0,1,2,3,4,5,6,13,21,0,0,8,5
