Tree,Treecode,Species,Infested,Year
M0-2,111,0,0,2
M0-2,111,0,0,2
M0-2,111,0,0,2
M0-2,111,0,0,2
M0-2,111,0,0,5
M0-2,111,0,1,5
M0-2,111,0,0,5
M0-2,111,0,0,5
M0-2,111,0,1,5
M0-2,111,0,0,5
M0-2,111,0,1,5
M0-2,111,0,0,5
M0-2,111,0,1,5
M0-2,111,0,0,7
M0-2,111,0,0,8
M0-3,112,0,0,2
M0-3,112,0,1,4
M0-3,112,1,0,5
M0-3,112,1,0,5
M0-4,113,0,0,2
M0-4,113,0,0,2
M0-4,113,0,0,2
M0-4,113,0,0,2
M0-4,113,1,1,4
M0-4,113,0,1,5
M0-4,113,1,0,8
M0-4,113,1,0,8
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,1
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,1,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,1,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,1,2
M1-1,1,0,0,2
M1-1,1,0,0,2
M1-1,1,0,1,4
M1-10,10,0,0,5
M1-10,10,0,0,5
M1-10,10,0,0,5
M1-10,10,0,1,5
M1-10,10,1,0,2
M1-11,11,1,0,5
M1-11,11,0,1,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-11,11,0,0,1
M1-12,12,0,1,5
M1-12,12,0,0,6
M1-12,12,0,1,6
M1-12,12,0,0,6
M1-12,12,0,0,6
M1-12,12,0,0,6
M1-12,12,0,1,6
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,1,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,1,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,1,1
M1-12,12,0,0,1
M1-12,12,0,0,1
M1-12,12,0,1,1
M1-12,12,0,0,1
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,1,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,1,2
M1-12,12,0,1,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,1,2
M1-12,12,0,1,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,1,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,2
M1-12,12,0,0,7
M1-12,12,0,0,7
M1-12,12,0,0,8
M1-12,12,0,0,8
M1-12,12,0,0,8
M1-12,12,0,0,8
M1-12,12,0,0,8
M1-12,12,0,1,8
M1-12,12,0,1,8
M1-12,12,0,1,8
M1-12,12,0,0,8
M1-12,12,0,1,8
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,1,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,1,0,5
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,1,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-2,2,0,0,1
M1-3,3,0,1,5
M1-3,3,0,1,5
M1-3,3,0,1,5
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,6
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,1,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,1,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,1,2
M1-3,3,0,1,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,1,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,2
M1-3,3,0,0,1
M1-3,3,0,1,1
M1-3,3,0,1,1
M1-3,3,0,0,1
M1-3,3,0,0,1
M1-3,3,0,0,1
M1-3,3,0,0,1
M1-3,3,0,0,1
M1-3,3,0,0,1
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,0,7
M1-3,3,0,1,8
M1-3,3,0,0,8
M1-3,3,0,0,8
M1-3,3,0,0,8
M1-4,4,1,0,5
M1-4,4,1,1,5
M1-4,4,1,0,5
M1-4,4,1,0,5
M1-4,4,1,0,5
M1-4,4,1,0,5
M1-4,4,1,1,5
M1-4,4,1,0,2
M1-4,4,0,0,2
M1-4,4,0,1,2
M1-4,4,0,0,2
M1-4,4,1,0,2
M1-4,4,1,0,2
M1-4,4,1,0,2
M1-4,4,1,1,2
M1-4,4,1,0,2
M1-4,4,1,0,2
M1-4,4,1,0,2
M1-4,4,1,0,7
M1-4,4,1,0,7
M1-4,4,1,0,7
M1-5,5,0,1,5
M1-5,5,0,1,5
M1-5,5,0,0,6
M1-5,5,0,0,6
M1-5,5,0,0,6
M1-5,5,0,0,6
M1-5,5,0,0,6
M1-5,5,0,1,1
M1-5,5,0,0,1
M1-5,5,0,0,1
M1-5,5,0,1,1
M1-5,5,0,0,1
M1-5,5,0,0,1
M1-5,5,0,0,1
M1-5,5,0,0,1
